,rs_exec_time
00:00:00,
00:02:00,0.013357400894165039
00:04:00,0.014473676681518555
00:06:00,0.014461278915405273
00:08:00,0.01440286636352539
00:10:00,0.014371871948242188
00:12:00,0.014147281646728516
00:14:00,0.01233530044555664
00:16:00,0.013101816177368164
00:18:00,0.014745712280273438
00:20:00,0.01481485366821289
00:22:00,0.014762163162231445
00:24:00,0.014742374420166016
00:26:00,0.013145923614501953
00:28:00,0.014838457107543945
00:30:00,0.012914657592773438
00:32:00,0.013519763946533203
00:34:00,0.015235424041748047
00:36:00,0.015130758285522461
00:38:00,0.04247856140136719
00:40:00,0.015263557434082031
00:42:00,0.015560388565063477
00:44:00,0.015339851379394531
00:46:00,0.013617515563964844
00:48:00,0.01458287239074707
00:50:00,0.01601433753967285
00:52:00,0.0159914493560791
00:54:00,0.016165733337402344
00:56:00,0.016824960708618164
00:58:00,0.016173362731933594
01:00:00,0.014013528823852539
01:02:00,0.015154600143432617
01:04:00,0.01673293113708496
01:06:00,0.01686573028564453
01:08:00,0.01675701141357422
01:10:00,0.016682863235473633
01:12:00,0.016735315322875977
01:14:00,0.014585256576538086
01:16:00,0.01515340805053711
01:18:00,0.016895294189453125
01:20:00,0.01697993278503418
01:22:00,0.015830039978027344
01:24:00,0.017154455184936523
01:26:00,0.016956567764282227
01:28:00,0.016054868698120117
01:30:00,0.016881465911865234
01:32:00,0.015211343765258789
01:34:00,0.016192197799682617
01:36:00,0.017894983291625977
01:38:00,0.01721501350402832
01:40:00,0.016231775283813477
01:42:00,0.01776599884033203
01:44:00,0.017935752868652344
01:46:00,0.017583608627319336
01:48:00,0.015600204467773438
01:50:00,0.016636371612548828
01:52:00,0.01813483238220215
01:54:00,0.018736600875854492
01:56:00,0.018245220184326172
01:58:00,0.017779111862182617
02:00:00,0.016443967819213867
02:02:00,0.01836991310119629
02:04:00,0.01671314239501953
02:06:00,0.018349885940551758
02:08:00,0.018763065338134766
02:10:00,0.018750905990600586
02:12:00,0.018558502197265625
02:14:00,0.018567800521850586
02:16:00,0.016442298889160156
02:18:00,0.017000675201416016
02:20:00,0.019142866134643555
02:22:00,0.019028663635253906
02:24:00,0.0193021297454834
02:26:00,0.018735408782958984
02:28:00,0.017541885375976562
02:30:00,0.01915740966796875
02:32:00,0.017916202545166016
02:34:00,0.019003868103027344
02:36:00,0.019433259963989258
02:38:00,0.01939702033996582
02:40:00,0.018928050994873047
02:42:00,0.018045425415039062
02:44:00,0.019469261169433594
02:46:00,0.018024206161499023
02:48:00,0.019912004470825195
02:50:00,0.01973414421081543
02:52:00,0.02024984359741211
02:54:00,0.020681381225585938
02:56:00,0.019843578338623047
02:58:00,0.01820540428161621
03:00:00,0.019244909286499023
03:02:00,0.020686626434326172
03:04:00,0.020154237747192383
03:06:00,0.01900935173034668
03:08:00,0.047556400299072266
03:10:00,0.020565271377563477
03:12:00,0.020803213119506836
03:14:00,0.018602848052978516
03:16:00,0.020006895065307617
03:18:00,0.02122807502746582
03:20:00,0.02031564712524414
03:22:00,0.0200347900390625
03:24:00,0.021726608276367188
03:26:00,0.022851943969726562
03:28:00,0.01897263526916504
03:30:00,0.02003312110900879
03:32:00,0.021758079528808594
03:34:00,0.021657943725585938
03:36:00,0.022078275680541992
03:38:00,0.02150559425354004
03:40:00,0.02060866355895996
03:42:00,0.021930456161499023
03:44:00,0.01963353157043457
03:46:00,0.020839691162109375
03:48:00,0.02222752571105957
03:50:00,0.022583723068237305
03:52:00,0.022477149963378906
03:54:00,0.02265024185180664
03:56:00,0.02238607406616211
03:58:00,0.020479440689086914
04:00:00,0.04821896553039551
04:02:00,0.022701025009155273
04:04:00,0.022294044494628906
04:06:00,0.021322250366210938
04:08:00,0.024651765823364258
04:10:00,0.024542808532714844
04:12:00,0.024404048919677734
04:14:00,0.023259639739990234
04:16:00,0.023407936096191406
04:18:00,0.025415897369384766
04:20:00,0.024305343627929688
04:22:00,0.024319171905517578
04:24:00,0.025132417678833008
04:26:00,0.025000572204589844
04:28:00,0.02358698844909668
04:30:00,0.025007247924804688
04:32:00,0.0229339599609375
04:34:00,0.027001142501831055
04:36:00,0.02653980255126953
04:38:00,0.02613973617553711
04:40:00,0.02764272689819336
04:42:00,0.025246858596801758
04:44:00,0.021553993225097656
04:46:00,0.04974865913391113
04:48:00,0.024376869201660156
04:50:00,0.02439117431640625
04:52:00,0.024266958236694336
04:54:00,0.024356365203857422
04:56:00,0.022428512573242188
04:58:00,0.024843931198120117
05:00:00,0.022153615951538086
05:02:00,0.023656845092773438
05:04:00,0.024759292602539062
05:06:00,0.025389432907104492
05:08:00,0.025217771530151367
05:10:00,0.025351524353027344
05:12:00,0.024675607681274414
05:14:00,0.02341294288635254
05:16:00,0.025412559509277344
05:18:00,0.025009632110595703
05:20:00,0.023414134979248047
05:22:00,0.026013851165771484
05:24:00,0.02524113655090332
05:26:00,0.02576160430908203
05:28:00,0.023811817169189453
05:30:00,0.05277299880981445
05:32:00,0.025241851806640625
05:34:00,0.02452373504638672
05:36:00,0.025327205657958984
05:38:00,0.025851726531982422
05:40:00,0.025716304779052734
05:42:00,0.023718833923339844
05:44:00,0.02388286590576172
05:46:00,0.02447986602783203
05:48:00,0.026388883590698242
05:50:00,0.02568197250366211
05:52:00,0.024582386016845703
05:54:00,0.027252674102783203
05:56:00,0.02592754364013672
05:58:00,0.02492213249206543
06:00:00,0.026743412017822266
06:02:00,0.025031328201293945
06:04:00,0.027348756790161133
06:06:00,0.0272367000579834
06:08:00,0.05612015724182129
06:10:00,0.02659893035888672
