uncertainty.prob_hold,avg_active_aircrafts,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,n_delay,n_scheduler_delay,n_uncertainty_delay
0.0,10.895246913580248,0.0,32370.0,0.002839506172839506,0.4813533650627431,340.6666666666667,340.6666666666667,0.0
0.01,10.917925925925925,0.0,32370.0,0.003407407407407408,0.48555544733446687,351.92,348.04,3.88
0.02,10.883333333333336,0.0,32370.0,0.005065359477124183,0.480537346645517,350.70588235294116,343.8235294117647,6.882352941176471
0.03,10.792839506172841,0.0,32370.0,0.0038888888888888888,0.4679958908317624,347.06666666666666,336.46666666666664,10.6
0.04,10.8353835978836,0.0,32370.0,0.0037037037037037034,0.4742405531810368,346.85714285714283,332.57142857142856,14.285714285714286
0.05,10.963194444444445,0.0,32370.0,0.004050925925925926,0.49635721029237256,369.125,354.25,14.875
0.06,10.960185185185185,0.0,32370.0,0.0045138888888888885,0.48865020760270045,369.625,348.5,21.125
0.07,10.94537037037037,0.0,32370.0,0.004124579124579125,0.49293398605088606,383.8181818181818,356.3636363636364,27.454545454545453
0.08,10.922592592592594,0.0,32370.0,0.005,0.47648809344269516,370.2,340.8,29.4
0.09,10.732098765432099,0.0,32370.0,0.007407407407407407,0.4196473953335784,316.3333333333333,285.3333333333333,31.0
0.1,10.99976851851852,0.0,32370.0,0.007175925925925926,0.5092642576195472,406.5,366.5,40.0
