time,rs_exec_time
00:00:00,
00:15:00,0.03819584846496582
00:30:00,0.09441900253295898
00:45:00,0.0980370044708252
01:00:00,0.09962201118469238
01:15:00,0.11419486999511719
01:30:00,0.24990105628967285
01:45:00,0.12480401992797852
02:00:00,0.12525296211242676
02:15:00,0.12502598762512207
02:30:00,0.11617302894592285
02:45:00,0.11736106872558594
03:00:00,0.16663694381713867
03:15:00,0.12291193008422852
03:30:00,0.12291979789733887
03:45:00,0.12645602226257324
04:00:00,0.17679309844970703
04:15:00,0.16800498962402344
04:30:00,0.1289987564086914
04:45:00,0.1372051239013672
05:00:00,0.19922518730163574
05:15:00,0.14283394813537598
05:30:00,0.1460127830505371
05:45:00,0.14914488792419434
06:00:00,0.21258807182312012
06:15:00,0.16195201873779297
06:30:00,0.17470002174377441
06:45:00,0.24936985969543457
07:00:00,0.1992781162261963
07:15:00,0.1693713665008545
07:30:00,0.17366337776184082
07:45:00,0.2267439365386963
08:00:00,0.17771124839782715
08:15:00,0.18500208854675293
08:30:00,0.17819786071777344
08:45:00,0.1852893829345703
09:00:00,0.2425999641418457
09:15:00,0.19199109077453613
09:30:00,0.19814109802246094
09:45:00,0.2536330223083496
10:00:00,0.20507597923278809
10:15:00,0.2680521011352539
10:30:00,0.2084369659423828
10:45:00,0.24921011924743652
11:00:00,0.29752588272094727
11:15:00,0.23976874351501465
11:30:00,0.26476216316223145
11:45:00,0.22077584266662598
12:00:00,0.2889261245727539
12:15:00,0.22791790962219238
12:30:00,0.21929597854614258
12:45:00,0.3110649585723877
13:00:00,0.27332496643066406
13:15:00,0.3108799457550049
13:30:00,0.2348642349243164
13:45:00,0.29383111000061035
14:00:00,0.23941493034362793
14:15:00,0.3115880489349365
14:30:00,0.2742750644683838
14:45:00,0.3058500289916992
15:00:00,0.295396089553833
15:15:00,0.2810518741607666
15:30:00,0.32906627655029297
15:45:00,0.2571868896484375
16:00:00,0.3196396827697754
16:15:00,0.2603421211242676
16:30:00,0.3250439167022705
16:45:00,0.268798828125
17:00:00,0.32801198959350586
17:15:00,0.32801318168640137
17:30:00,0.27905821800231934
17:45:00,0.3452339172363281
18:00:00,0.28610682487487793
18:15:00,0.38942503929138184
18:30:00,0.3637104034423828
18:45:00,0.29375386238098145
19:00:00,0.3641510009765625
19:15:00,0.36308884620666504
19:30:00,0.29799604415893555
19:45:00,0.3878810405731201
20:00:00,0.35897302627563477
20:15:00,0.3155689239501953
20:30:00,0.38536596298217773
20:45:00,0.3669140338897705
21:00:00,0.32453036308288574
21:15:00,0.39525794982910156
21:30:00,0.3737771511077881
21:45:00,0.10254287719726562
22:00:00,0.10041594505310059
22:15:00,0.1616370677947998
22:30:00,0.0984189510345459
22:45:00,0.10997605323791504
23:00:00,0.10163426399230957
23:15:00,0.15516304969787598
23:30:00,0.09924793243408203
