time,n_delay_added,rs_exec_time
00:00:00,0,
00:15:00,2,0.040307044982910156
00:30:00,2,0.09261798858642578
00:45:00,2,0.09649515151977539
01:00:00,2,0.09847187995910645
01:15:00,2,0.10785102844238281
01:30:00,2,0.10425496101379395
01:45:00,2,0.10975313186645508
02:00:00,2,0.1252439022064209
02:15:00,2,0.1114661693572998
02:30:00,2,0.11380791664123535
02:45:00,2,0.17984628677368164
03:00:00,2,0.11970400810241699
03:15:00,2,0.12195992469787598
03:30:00,2,0.12999773025512695
03:45:00,2,0.12420487403869629
04:00:00,2,0.1724090576171875
04:15:00,2,0.13136911392211914
04:30:00,2,0.13183999061584473
04:45:00,2,0.13928008079528809
05:00:00,2,0.1881699562072754
05:15:00,2,0.1373910903930664
05:30:00,2,0.14477896690368652
05:45:00,2,0.14390087127685547
06:00:00,2,0.1999809741973877
06:15:00,2,0.15459680557250977
06:30:00,2,0.1585230827331543
06:45:00,2,0.21088886260986328
07:00:00,2,0.16495108604431152
07:15:00,2,0.16521477699279785
07:30:00,2,0.21842098236083984
07:45:00,2,0.16781401634216309
08:00:00,2,0.1888728141784668
08:15:00,2,0.2283017635345459
08:30:00,2,0.1807417869567871
08:45:00,2,0.17953109741210938
09:00:00,2,0.24059581756591797
09:15:00,2,0.19278717041015625
09:30:00,2,0.1904737949371338
09:45:00,2,0.25756311416625977
10:00:00,2,0.19849395751953125
10:15:00,2,0.3142697811126709
10:30:00,2,0.33728718757629395
10:45:00,2,0.21268820762634277
11:00:00,2,0.24557900428771973
11:15:00,2,0.31388401985168457
11:30:00,2,0.29277491569519043
11:45:00,2,0.23748517036437988
12:00:00,2,0.32185912132263184
12:15:00,2,0.26286888122558594
12:30:00,2,0.31586408615112305
12:45:00,2,0.26393795013427734
13:00:00,2,0.2861490249633789
13:15:00,2,0.25354433059692383
13:30:00,2,0.29442715644836426
13:45:00,2,0.2416520118713379
14:00:00,2,0.29854702949523926
14:15:00,2,0.24692106246948242
14:30:00,2,0.3105189800262451
14:45:00,2,0.24987316131591797
15:00:00,2,0.3103511333465576
15:15:00,2,0.2617008686065674
15:30:00,2,0.32083630561828613
15:45:00,2,0.25701093673706055
16:00:00,2,0.3393280506134033
16:15:00,2,0.2671689987182617
16:30:00,2,0.32803893089294434
16:45:00,2,0.32341694831848145
17:00:00,2,0.27607202529907227
17:15:00,2,0.33663487434387207
17:30:00,2,0.2736079692840576
17:45:00,2,0.34380292892456055
18:00:00,2,0.3325650691986084
18:15:00,2,0.28360772132873535
18:30:00,2,0.34909701347351074
18:45:00,2,0.36861181259155273
19:00:00,2,0.3059990406036377
19:15:00,2,0.35300397872924805
19:30:00,2,0.3013761043548584
19:45:00,2,0.3656919002532959
20:00:00,2,0.370358943939209
20:15:00,2,0.3023848533630371
20:30:00,2,0.30251193046569824
20:45:00,2,0.35595703125
21:00:00,2,0.37055420875549316
21:15:00,2,0.31769800186157227
21:30:00,0,0.35909199714660645
21:45:00,0,0.09867691993713379
22:00:00,0,0.15806198120117188
22:15:00,0,0.10906100273132324
22:30:00,0,0.10025787353515625
22:45:00,0,0.1002359390258789
23:00:00,0,0.1761484146118164
23:15:00,0,0.09887576103210449
23:30:00,0,0.09784197807312012
