time,n_delay_added,rs_exec_time
00:00:00,0,
00:15:00,2,0.058425188064575195
00:30:00,0,0.12461400032043457
00:45:00,5,0.07261896133422852
01:00:00,1,0.2774200439453125
01:15:00,0,0.1130669116973877
01:30:00,0,0.11763405799865723
01:45:00,0,0.09888005256652832
02:00:00,0,0.1031191349029541
02:15:00,0,0.3404991626739502
02:30:00,0,0.1152040958404541
02:45:00,0,0.1078178882598877
03:00:00,0,0.10981988906860352
03:15:00,1,0.12848806381225586
03:30:00,0,0.15137791633605957
03:45:00,4,0.13560986518859863
04:00:00,0,0.3066539764404297
04:15:00,2,0.17621684074401855
04:30:00,0,0.24843287467956543
04:45:00,2,0.13756012916564941
05:00:00,6,0.28597092628479004
05:15:00,0,0.3718719482421875
05:30:00,0,0.12321996688842773
05:45:00,0,0.1629629135131836
06:00:00,0,0.12215662002563477
06:15:00,0,0.11957311630249023
06:30:00,0,0.12024307250976562
06:45:00,0,0.1232452392578125
07:00:00,0,0.14253902435302734
07:15:00,0,0.13796710968017578
07:30:00,0,0.12924432754516602
07:45:00,0,0.13807296752929688
08:00:00,0,0.1335887908935547
08:15:00,0,0.13319897651672363
08:30:00,0,0.1368398666381836
08:45:00,0,0.19166994094848633
09:00:00,0,0.1519010066986084
09:15:00,0,0.1606919765472412
09:30:00,0,0.15816283226013184
09:45:00,0,0.15049982070922852
10:00:00,0,0.17256808280944824
10:15:00,0,0.16839385032653809
10:30:00,0,0.17984294891357422
10:45:00,0,0.17104887962341309
11:00:00,0,0.17224383354187012
11:15:00,0,0.18412995338439941
11:30:00,0,0.19360828399658203
11:45:00,0,0.1806037425994873
12:00:00,0,0.18735623359680176
12:15:00,0,0.20173096656799316
12:30:00,0,0.19716095924377441
12:45:00,0,0.19994425773620605
13:00:00,0,0.1959850788116455
13:15:00,0,0.1990499496459961
13:30:00,0,0.19652915000915527
13:45:00,0,0.1992809772491455
14:00:00,0,0.21653294563293457
14:15:00,0,0.2231731414794922
14:30:00,0,0.21446895599365234
14:45:00,0,0.22270488739013672
15:00:00,0,0.21490931510925293
15:15:00,0,0.22381591796875
15:30:00,0,0.21270990371704102
15:45:00,0,0.23043608665466309
16:00:00,0,0.22899580001831055
16:15:00,0,0.23450899124145508
16:30:00,0,0.24351716041564941
16:45:00,0,0.23461413383483887
17:00:00,0,0.2897672653198242
17:15:00,0,0.26282286643981934
17:30:00,0,0.26127004623413086
17:45:00,0,0.277332067489624
18:00:00,0,0.26413822174072266
18:15:00,0,0.26007080078125
18:30:00,0,0.2635669708251953
18:45:00,0,0.26134204864501953
19:00:00,0,0.27102112770080566
19:15:00,0,0.2737007141113281
19:30:00,0,0.27037715911865234
19:45:00,0,0.27989792823791504
20:00:00,0,0.27614808082580566
20:15:00,0,0.27768397331237793
20:30:00,0,0.27478814125061035
20:45:00,0,0.28546714782714844
21:00:00,0,0.29018306732177734
21:15:00,0,0.2892019748687744
21:30:00,0,0.2974369525909424
21:45:00,0,0.28464698791503906
22:00:00,0,0.2949650287628174
22:15:00,0,0.300156831741333
22:30:00,0,0.3052999973297119
22:45:00,0,0.30670690536499023
23:00:00,0,0.3127329349517822
23:15:00,0,0.3205580711364746
23:30:00,0,0.3192582130432129
