uncertainty.prob_hold,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
0.0,0.0,76848.0,0.6804210526315789,0.20805232169780327,0.6666645918272074,0.6666645918272074,0.0
0.01,1.8,76632.0,0.3774736842105263,0.19666212163072952,0.6650559145864544,0.6586810313117113,0.006374883274743022
0.02,2.6,76800.0,0.415719298245614,0.20398331601568992,0.6745440882199985,0.6602917634872257,0.014252324732772612
0.03,6.4,76824.0,1.1614736842105264,0.2108497239173727,0.689622605176071,0.6602440822270345,0.029378522949036444
0.04,12.4,77148.0,0.8967017543859649,0.2297904993625397,0.7137206048181544,0.6634709127877081,0.05024969203044617
0.05,16.6,76824.0,1.3023859649122809,0.23760273304391416,0.7340963570901773,0.6655981718238527,0.06849818526632442
0.06,14.2,76662.0,0.6018947368421053,0.2304199944151209,0.7234053213106426,0.6639870999491999,0.05941822136144272
0.07,16.0,76644.0,0.6062456140350878,0.3471892585145666,0.7325780748782152,0.6602768822263914,0.07230119265182379
0.08,20.8,76506.0,0.7018947368421052,0.22660003722982203,0.7566397126908856,0.662895074942007,0.09374463774887873
0.09,22.0,76482.0,0.7983157894736842,0.20148916092324765,0.760093110123403,0.6613246295906563,0.09876848053274667
