time,count,count_conflict,size
00:00:30,1,0,0
00:01:00,1,0,0
00:01:30,1,0,0
00:02:00,1,0,0
00:02:30,1,0,0
00:03:00,1,0,0
00:03:30,1,0,0
00:04:00,1,0,0
00:04:30,2,0,0
00:05:00,2,0,0
00:05:30,2,0,0
00:06:00,2,0,0
00:06:30,2,0,0
00:07:00,2,0,0
00:07:30,2,0,0
00:08:00,2,0,0
00:08:30,2,0,0
00:09:00,2,0,0
00:09:30,3,0,0
00:10:00,3,0,0
00:10:30,3,0,0
00:11:00,3,0,0
00:11:30,3,0,0
00:12:00,3,0,0
00:12:30,3,0,0
00:13:00,3,0,0
00:13:30,3,0,1
00:14:00,3,0,1
00:14:30,3,0,1
00:15:00,3,0,1
00:15:30,3,0,1
00:16:00,3,0,1
00:16:30,4,0,1
00:17:00,3,0,1
00:17:30,4,0,0
00:18:00,3,0,0
00:18:30,3,0,0
00:19:00,2,0,0
00:19:30,2,0,0
00:20:00,2,0,0
00:20:30,2,0,0
00:21:00,2,0,0
00:21:30,2,0,0
00:22:00,2,0,0
00:22:30,2,0,0
00:23:00,2,0,0
00:23:30,3,0,0
00:24:00,3,0,0
00:24:30,3,0,0
00:25:00,3,0,0
00:25:30,3,0,0
00:26:00,3,0,0
00:26:30,3,0,0
00:27:00,3,0,0
00:27:30,3,0,0
00:28:00,3,0,0
00:28:30,3,0,1
00:29:00,3,0,1
00:29:30,3,0,1
00:30:00,3,0,1
00:30:30,3,0,1
00:31:00,3,0,1
00:31:30,4,0,1
00:32:00,3,0,1
00:32:30,4,0,0
00:33:00,3,0,0
00:33:30,3,0,0
00:34:00,2,0,0
00:34:30,2,0,0
00:35:00,2,0,0
00:35:30,2,0,0
00:36:00,2,0,0
00:36:30,3,0,0
00:37:00,3,0,0
00:37:30,3,0,0
00:38:00,3,0,0
00:38:30,3,0,0
00:39:00,3,0,0
00:39:30,3,0,0
00:40:00,3,0,0
00:40:30,3,0,0
00:41:00,3,0,0
00:41:30,3,0,0
00:42:00,3,0,0
00:42:30,3,0,1
00:43:00,3,0,1
00:43:30,3,0,1
00:44:00,3,0,1
00:44:30,3,0,1
00:45:00,3,0,1
00:45:30,3,0,1
00:46:00,3,0,1
00:46:30,4,0,0
00:47:00,3,0,0
00:47:30,4,0,0
00:48:00,3,0,0
00:48:30,3,0,0
00:49:00,2,0,0
00:49:30,2,0,0
00:50:00,2,0,0
00:50:30,2,0,0
00:51:00,2,0,0
00:51:30,2,0,0
00:52:00,2,0,0
00:52:30,3,0,0
00:53:00,3,0,0
00:53:30,3,0,0
00:54:00,3,0,0
00:54:30,3,0,0
00:55:00,3,0,0
00:55:30,3,0,0
00:56:00,3,0,0
00:56:30,3,0,1
00:57:00,3,0,1
00:57:30,3,0,1
00:58:00,3,0,1
00:58:30,3,0,1
00:59:00,3,0,1
00:59:30,3,0,1
01:00:00,3,0,1
01:00:30,3,0,1
01:01:00,3,0,1
01:01:30,4,0,1
01:02:00,3,0,1
01:02:30,4,0,0
01:03:00,3,0,0
01:03:30,3,0,0
01:04:00,2,0,0
01:04:30,2,0,0
01:05:00,2,0,0
01:05:30,2,0,0
01:06:00,2,0,0
01:06:30,3,0,0
01:07:00,3,0,0
01:07:30,3,0,0
01:08:00,3,0,0
01:08:30,3,0,0
01:09:00,3,0,0
01:09:30,3,0,0
01:10:00,3,0,0
01:10:30,3,0,1
01:11:00,3,0,1
01:11:30,3,0,1
01:12:00,3,0,1
01:12:30,3,0,1
01:13:00,3,0,1
01:13:30,3,0,1
01:14:00,3,0,1
01:14:30,3,0,2
01:15:00,3,0,2
01:15:30,3,0,2
01:16:00,3,0,2
01:16:30,4,0,1
01:17:00,3,0,1
01:17:30,4,0,0
01:18:00,3,0,0
01:18:30,4,0,0
01:19:00,3,0,0
01:19:30,3,0,0
01:20:00,3,0,0
01:20:30,3,0,0
01:21:00,3,0,0
01:21:30,3,0,0
01:22:00,3,0,0
01:22:30,3,0,1
01:23:00,3,0,1
01:23:30,3,0,1
01:24:00,3,0,1
01:24:30,3,0,1
01:25:00,3,0,1
01:25:30,3,0,2
01:26:00,3,0,2
01:26:30,3,0,2
01:27:00,3,0,2
01:27:30,3,0,2
01:28:00,3,0,2
01:28:30,3,0,2
01:29:00,3,0,2
01:29:30,3,0,3
01:30:00,3,0,3
01:30:30,3,0,3
01:31:00,3,0,3
01:31:30,5,0,1
01:32:00,4,0,1
01:32:30,5,0,0
01:33:00,4,0,0
01:33:30,4,0,1
01:34:00,3,0,1
01:34:30,3,0,1
01:35:00,3,0,1
01:35:30,3,0,1
01:36:00,3,0,1
01:36:30,3,0,1
01:37:00,3,0,1
01:37:30,3,0,2
01:38:00,3,0,2
01:38:30,3,0,2
01:39:00,3,0,2
01:39:30,3,0,2
01:40:00,3,0,2
01:40:30,3,0,2
01:41:00,3,0,2
01:41:30,3,0,2
01:42:00,3,0,2
01:42:30,3,0,3
01:43:00,3,0,3
01:43:30,3,0,3
01:44:00,3,0,3
01:44:30,3,0,3
01:45:00,3,0,3
01:45:30,3,0,3
01:46:00,3,0,3
01:46:30,5,0,2
01:47:00,4,0,2
01:47:30,5,0,1
