,expr_var,failed,nth
199,0.06,8.0,19.0
200,0.06,12.0,20.0
201,0.06,19.0,21.0
202,0.06,8.0,22.0
203,0.06,19.0,23.0
204,0.06,9.0,24.0
205,0.06,1.0,25.0
206,0.06,5.0,26.0
207,0.06,25.0,27.0
208,0.06,25.0,28.0
209,0.06,26.0,29.0
210,0.07,36.0,0.0
211,0.07,8.0,1.0
212,0.07,24.0,2.0
213,0.07,4.0,3.0
214,0.07,27.0,4.0
215,0.07,67.0,5.0
216,0.07,5.0,6.0
217,0.07,25.0,7.0
218,0.07,13.0,8.0
219,0.07,9.0,9.0
220,0.07,19.0,10.0
221,0.07,47.0,11.0
222,0.07,7.0,12.0
223,0.07,36.0,13.0
224,0.07,31.0,14.0
225,0.07,16.0,15.0
226,0.07,22.0,16.0
227,0.07,44.0,17.0
228,0.07,10.0,18.0
229,0.07,56.0,19.0
230,0.07,4.0,20.0
231,0.07,13.0,21.0
232,0.07,64.0,22.0
233,0.07,57.0,23.0
234,0.07,42.0,24.0
235,0.07,12.0,25.0
236,0.07,6.0,26.0
237,0.07,58.0,27.0
238,0.07,14.0,28.0
239,0.07,3.0,29.0
240,0.08,18.0,0.0
241,0.08,50.0,1.0
242,0.08,19.0,2.0
243,0.08,12.0,3.0
244,0.08,37.0,4.0
245,0.08,10.0,5.0
246,0.08,35.0,6.0
247,0.08,2.0,7.0
248,0.08,55.0,8.0
249,0.08,85.0,9.0
250,0.08,130.0,10.0
251,0.08,3.0,11.0
252,0.08,96.0,12.0
253,0.08,24.0,13.0
254,0.08,0.0,14.0
255,0.08,104.0,15.0
256,0.08,32.0,16.0
257,0.08,92.0,17.0
258,0.08,14.0,18.0
259,0.08,1.0,19.0
260,0.08,89.0,20.0
261,0.08,69.0,21.0
262,0.08,145.0,22.0
263,0.08,29.0,23.0
264,0.08,3.0,24.0
265,0.08,6.0,25.0
266,0.08,7.0,26.0
267,0.08,8.0,27.0
268,0.08,14.0,28.0
269,0.08,39.0,29.0
270,0.09,5.0,0.0
271,0.09,167.0,1.0
272,0.09,36.0,2.0
273,0.09,45.0,3.0
274,0.09,174.0,4.0
275,0.09,5.0,5.0
276,0.09,25.0,6.0
277,0.09,48.0,7.0
278,0.09,77.0,8.0
279,0.09,29.0,9.0
280,0.09,3.0,10.0
281,0.09,3.0,11.0
282,0.09,92.0,12.0
283,0.09,0.0,13.0
284,0.09,28.0,14.0
285,0.09,19.0,15.0
286,0.09,68.0,16.0
287,0.09,139.0,17.0
288,0.09,38.0,18.0
289,0.09,64.0,19.0
290,0.09,35.0,20.0
291,0.09,63.0,21.0
292,0.09,111.0,22.0
293,0.09,76.0,23.0
294,0.09,13.0,24.0
295,0.09,27.0,25.0
296,0.09,11.0,26.0
297,0.09,75.0,27.0
298,0.09,19.0,28.0
299,0.09,14.0,29.0
300,0.1,367.0,0.0
301,0.1,91.0,1.0
302,0.1,9.0,2.0
303,0.1,44.0,3.0
