uncertainty.prob_hold,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
0.0,0.0,76643.0,0.041305361305361304,0.2377928246354833,0.011212121212121211,0.011212121212121211,0.0
0.01,0.0,76694.0,0.03874125874125874,0.2362796478428192,0.011806526806526805,0.011107226107226104,0.0006993006993006994
0.02,0.0,76760.0,0.035046620046620056,0.22866479807616402,0.01203962703962704,0.010466200466200467,0.001573426573426574
0.03,0.0,76734.0,0.03684149184149185,0.23342942615070253,0.013566433566433564,0.011060606060606059,0.002505827505827506
0.04,0.0,76641.0,0.03671328671328671,0.2339143805660552,0.014615384615384615,0.011573426573426577,0.0030419580419580425
0.05,0.0,76696.0,0.036748251748251755,0.23435617953958646,0.015244755244755244,0.011596736596736596,0.0036480186480186486
0.06,0.0,76701.0,0.03769230769230769,0.2334359330190739,0.015011655011655007,0.010221445221445219,0.00479020979020979
0.07,0.0,76659.0,0.0355944055944056,0.2338520020386423,0.016491841491841495,0.011095571095571096,0.0053962703962703975
0.08,0.0,76725.0,0.03877622377622378,0.1984358350995561,0.016480186480186478,0.00972027972027972,0.0067599067599067595
0.09,0.0,76607.0,0.04064102564102565,0.23068299203971185,0.018193473193473194,0.010396270396270398,0.007797202797202797
0.1,0.0,76722.0,0.040081585081585075,0.1879158547226812,0.018449883449883454,0.009965034965034968,0.008484848484848482
