simulation.reschedule_cycle,avg_active_aircrafts,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,n_delay,n_scheduler_delay,n_uncertainty_delay
60.0,10.929753086419757,0.0,32370.0,0.00404320987654321,0.26580776115516563,352.9,343.06666666666666,9.833333333333334
120.0,10.91659807956104,0.0,32370.0,0.0031550068587105624,0.40223811537080706,356.0,348.3703703703704,7.62962962962963
180.0,11.000074074074075,0.0,32370.0,0.003222222222222223,0.5811918129734487,377.8,370.8,7.0
240.0,10.938683127572013,0.0,32370.0,0.0037722908093278463,0.7025587024973398,355.5925925925926,348.48148148148147,7.111111111111111
300.0,10.948418209876543,0.0,32370.0,0.002314814814814815,0.9068669135511106,344.125,339.75,4.375
360.0,10.911712962962964,0.0,32370.0,0.003425925925925926,1.2005764177675995,368.7,362.95,5.75
420.0,10.932428473781858,0.0,32310.0,0.0034664583536763985,1.4099090905070633,352.5263157894737,343.3157894736842,9.210526315789474
480.0,10.972903340440652,0.0,32130.0,0.0033759772565742714,1.624810594328898,355.1904761904762,349.2857142857143,5.904761904761905
540.0,10.931064814814814,0.0,32370.0,0.00287037037037037,1.586974554344759,352.05,345.05,7.0
600.0,10.781565656565657,0.0,32370.0,0.0030303030303030307,1.2058005745987541,339.3636363636364,333.90909090909093,5.454545454545454
660.0,10.990826633683774,0.0,32310.0,0.004019789734075448,1.5153495525872267,381.22222222222223,375.6666666666667,5.555555555555555
720.0,10.897138047138048,0.0,32370.0,0.0029461279461279466,1.5572142113338818,345.8181818181818,339.0,6.818181818181818
780.0,10.868667917448406,0.0,31950.0,0.004455909943714822,1.7572195947170257,347.25,340.375,6.875
840.0,10.96471291866029,0.0,31890.0,0.0038448393711551605,2.0979579654899805,365.54545454545456,361.45454545454544,4.090909090909091
900.0,10.843055555555557,0.0,32370.0,0.0032407407407407406,2.2196181916055227,336.75,333.4166666666667,3.3333333333333335
