,expr_var,failed,nth
199,480.0,4.0,19.0
200,480.0,0.0,20.0
201,480.0,2.0,21.0
202,480.0,0.0,22.0
203,480.0,1.0,23.0
204,480.0,1.0,24.0
205,480.0,0.0,25.0
206,480.0,5.0,26.0
207,480.0,0.0,27.0
208,480.0,6.0,28.0
209,480.0,6.0,29.0
210,540.0,2.0,0.0
211,540.0,9.0,1.0
212,540.0,3.0,2.0
213,540.0,9.0,3.0
214,540.0,1.0,4.0
215,540.0,4.0,5.0
216,540.0,5.0,6.0
217,540.0,3.0,7.0
218,540.0,12.0,8.0
219,540.0,4.0,9.0
220,540.0,4.0,10.0
221,540.0,0.0,11.0
222,540.0,7.0,12.0
223,540.0,1.0,13.0
224,540.0,3.0,14.0
225,540.0,7.0,15.0
226,540.0,8.0,16.0
227,540.0,5.0,17.0
228,540.0,8.0,18.0
229,540.0,3.0,19.0
230,540.0,11.0,20.0
231,540.0,27.0,21.0
232,540.0,5.0,22.0
233,540.0,5.0,23.0
234,540.0,8.0,24.0
235,540.0,0.0,25.0
236,540.0,3.0,26.0
237,540.0,6.0,27.0
238,540.0,15.0,28.0
239,540.0,0.0,29.0
240,600.0,1.0,0.0
241,600.0,7.0,1.0
242,600.0,3.0,2.0
243,600.0,0.0,3.0
244,600.0,1.0,4.0
245,600.0,8.0,5.0
246,600.0,22.0,6.0
247,600.0,3.0,7.0
248,600.0,14.0,8.0
249,600.0,11.0,9.0
250,600.0,18.0,10.0
251,600.0,0.0,11.0
252,600.0,1.0,12.0
253,600.0,4.0,13.0
254,600.0,11.0,14.0
255,600.0,2.0,15.0
256,600.0,2.0,16.0
257,600.0,1.0,17.0
258,600.0,3.0,18.0
259,600.0,0.0,19.0
260,600.0,22.0,20.0
261,600.0,10.0,21.0
262,600.0,4.0,22.0
263,600.0,13.0,23.0
264,600.0,12.0,24.0
265,600.0,4.0,25.0
266,600.0,3.0,26.0
267,600.0,17.0,27.0
268,600.0,10.0,28.0
269,600.0,0.0,29.0
270,660.0,13.0,0.0
271,660.0,14.0,1.0
272,660.0,17.0,2.0
273,660.0,20.0,3.0
274,660.0,9.0,4.0
275,660.0,1.0,5.0
276,660.0,1.0,6.0
277,660.0,15.0,7.0
278,660.0,2.0,8.0
279,660.0,3.0,9.0
280,660.0,22.0,10.0
281,660.0,1.0,11.0
282,660.0,7.0,12.0
283,660.0,11.0,13.0
284,660.0,21.0,14.0
285,660.0,18.0,15.0
286,660.0,21.0,16.0
287,660.0,27.0,17.0
288,660.0,2.0,18.0
289,660.0,1.0,19.0
290,660.0,0.0,20.0
291,660.0,43.0,21.0
292,660.0,9.0,22.0
293,660.0,0.0,23.0
294,660.0,9.0,24.0
295,660.0,18.0,25.0
296,660.0,7.0,26.0
297,660.0,12.0,27.0
298,660.0,53.0,28.0
299,660.0,20.0,29.0
300,720.0,16.0,0.0
301,720.0,21.0,1.0
302,720.0,47.0,2.0
303,720.0,4.0,3.0
304,720.0,20.0,4.0
305,720.0,4.0,5.0
306,720.0,11.0,6.0
307,720.0,17.0,7.0
308,720.0,13.0,8.0
309,720.0,38.0,9.0
310,720.0,12.0,10.0
311,720.0,3.0,11.0
312,720.0,5.0,12.0
313,720.0,44.0,13.0
314,720.0,13.0,14.0
315,720.0,16.0,15.0
316,720.0,7.0,16.0
317,720.0,25.0,17.0
318,720.0,39.0,18.0
319,720.0,18.0,19.0
320,720.0,36.0,20.0
321,720.0,4.0,21.0
322,720.0,17.0,22.0
323,720.0,24.0,23.0
324,720.0,12.0,24.0
325,720.0,28.0,25.0
326,720.0,93.0,26.0
327,720.0,0.0,27.0
328,720.0,0.0,28.0
329,720.0,3.0,29.0
330,780.0,46.0,0.0
331,780.0,1.0,1.0
332,780.0,2.0,2.0
333,780.0,44.0,3.0
334,780.0,5.0,4.0
335,780.0,20.0,5.0
336,780.0,47.0,6.0
337,780.0,14.0,7.0
338,780.0,20.0,8.0
339,780.0,44.0,9.0
340,780.0,0.0,10.0
341,780.0,28.0,11.0
342,780.0,14.0,12.0
343,780.0,5.0,13.0
344,780.0,1.0,14.0
345,780.0,6.0,15.0
346,780.0,37.0,16.0
347,780.0,20.0,17.0
348,780.0,31.0,18.0
349,780.0,13.0,19.0
350,780.0,2.0,20.0
351,780.0,15.0,21.0
352,780.0,14.0,22.0
353,780.0,10.0,23.0
354,780.0,19.0,24.0
355,780.0,65.0,25.0
356,780.0,12.0,26.0
357,780.0,0.0,27.0
358,780.0,37.0,28.0
359,780.0,11.0,29.0
360,840.0,29.0,0.0
361,840.0,15.0,1.0
362,840.0,43.0,2.0
363,840.0,29.0,3.0
364,840.0,46.0,4.0
365,840.0,9.0,5.0
366,840.0,16.0,6.0
367,840.0,6.0,7.0
368,840.0,52.0,8.0
369,840.0,0.0,9.0
370,840.0,7.0,10.0
371,840.0,62.0,11.0
372,840.0,46.0,12.0
373,840.0,31.0,13.0
374,840.0,23.0,14.0
375,840.0,22.0,15.0
376,840.0,33.0,16.0
377,840.0,10.0,17.0
378,840.0,12.0,18.0
379,840.0,48.0,19.0
380,840.0,35.0,20.0
381,840.0,4.0,21.0
382,840.0,26.0,22.0
383,840.0,3.0,23.0
384,840.0,59.0,24.0
385,840.0,4.0,25.0
386,840.0,13.0,26.0
387,840.0,56.0,27.0
388,840.0,11.0,28.0
389,840.0,4.0,29.0
390,900.0,9.0,0.0
391,900.0,33.0,1.0
392,900.0,2.0,2.0
393,900.0,73.0,3.0
394,900.0,36.0,4.0
395,900.0,27.0,5.0
396,900.0,54.0,6.0
397,900.0,26.0,7.0
398,900.0,57.0,8.0
399,900.0,17.0,9.0
400,900.0,8.0,10.0
401,900.0,16.0,11.0
402,900.0,20.0,12.0
403,900.0,91.0,13.0
404,900.0,80.0,14.0
405,900.0,72.0,15.0
406,900.0,21.0,16.0
407,900.0,57.0,17.0
408,900.0,10.0,18.0
409,900.0,24.0,19.0
410,900.0,142.0,20.0
411,900.0,25.0,21.0
412,900.0,55.0,22.0
413,900.0,19.0,23.0
414,900.0,9.0,24.0
415,900.0,4.0,25.0
416,900.0,30.0,26.0
417,900.0,21.0,27.0
418,900.0,25.0,28.0
419,900.0,14.0,29.0
