uncertainty.prob_hold,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
0.0,0.0,76472.0,6.954102920723227e-05,0.6067633360098553,0.00917941585535466,0.00917941585535466,0.0
0.01,0.0,76452.0,4.636068613815484e-05,0.6011006668085508,0.009318497913769125,0.0086230876216968,0.0006954102920723229
0.02,0.0,76376.0,0.00018544274455261936,0.6058028091184496,0.010778859527121005,0.009133055169216503,0.001645804357904497
0.03,0.0,76422.0,9.272137227630968e-05,0.6060354533191069,0.011103384330088084,0.008344923504867874,0.002758460825220214
0.04,0.0,76456.0,0.00016226240148354195,0.5938056984541032,0.011451089476124247,0.00808993973110802,0.003361149745016227
0.05,0.0,76406.0,0.0,0.5933571148494271,0.012563745943439964,0.008113120074177098,0.004450625869262865
0.06,0.0,76438.0,6.954102920723227e-05,0.594204538911166,0.013027352804821514,0.007834955957348169,0.005192396847473342
0.07,0.0,76490.0,2.318034306907742e-05,0.5939504397391387,0.014997681965693092,0.007811775614279092,0.007185906351414002
0.08,0.0,76478.0,4.636068613815484e-05,0.5932643715053547,0.0160176170607325,0.008252202132591561,0.0077654149281409365
0.09,0.0,76480.0,0.0,0.593852108722499,0.017454798331015303,0.008530366249420492,0.008924432081594807
0.1,0.0,76488.0,0.00018544274455261936,0.5931434740927225,0.017848864163189617,0.008738989337042187,0.009109874826147427
