time,n_delay_added,rs_exec_time
00:00:00,0,
00:15:00,0,0.03672385215759277
00:30:00,0,0.05330300331115723
00:45:00,0,0.046053171157836914
01:00:00,0,0.06140899658203125
01:15:00,0,0.05585312843322754
01:30:00,0,0.05863308906555176
01:45:00,0,0.055203914642333984
02:00:00,0,0.05968308448791504
02:15:00,0,0.061773061752319336
02:30:00,0,0.06366801261901855
02:45:00,0,0.05801510810852051
03:00:00,0,0.06858992576599121
03:15:00,0,0.057578086853027344
03:30:00,0,0.06648826599121094
03:45:00,2,0.06683921813964844
04:00:00,0,0.1526169776916504
04:15:00,0,0.06662487983703613
04:30:00,0,0.10124492645263672
04:45:00,0,0.09290504455566406
05:00:00,0,0.06904983520507812
05:15:00,0,0.06546592712402344
05:30:00,0,0.06598401069641113
05:45:00,0,0.06583499908447266
06:00:00,0,0.07298994064331055
06:15:00,0,0.07771611213684082
06:30:00,0,0.06376290321350098
06:45:00,0,0.06198906898498535
07:00:00,0,0.06321263313293457
07:15:00,0,0.07394576072692871
07:30:00,0,0.08282685279846191
07:45:00,0,0.0655519962310791
08:00:00,0,0.08597707748413086
08:15:00,0,0.07507777214050293
08:30:00,0,0.07429313659667969
08:45:00,0,0.06994009017944336
09:00:00,0,0.06844019889831543
09:15:00,0,0.07018232345581055
09:30:00,0,0.06883096694946289
09:45:00,0,0.06480574607849121
10:00:00,0,0.07393217086791992
10:15:00,1,0.07484316825866699
10:30:00,1,0.1340479850769043
10:45:00,0,0.1307389736175537
11:00:00,0,0.11226081848144531
11:15:00,0,0.07971000671386719
11:30:00,0,0.0868220329284668
11:45:00,0,0.09346675872802734
12:00:00,0,0.0802450180053711
12:15:00,0,0.08361983299255371
12:30:00,0,0.09666299819946289
12:45:00,0,0.07853198051452637
13:00:00,0,0.11385297775268555
13:15:00,0,0.08859920501708984
13:30:00,0,0.07812023162841797
13:45:00,0,0.07876014709472656
14:00:00,0,0.07664012908935547
14:15:00,0,0.07970094680786133
14:30:00,0,0.09197497367858887
14:45:00,0,0.07840085029602051
15:00:00,0,0.07671999931335449
15:15:00,0,0.0867919921875
15:30:00,0,0.07621502876281738
15:45:00,0,0.07628798484802246
16:00:00,0,0.07800483703613281
16:15:00,0,0.07893514633178711
16:30:00,1,0.08284282684326172
16:45:00,0,0.2024369239807129
17:00:00,0,0.08766698837280273
17:15:00,0,0.08693289756774902
17:30:00,0,0.08502912521362305
17:45:00,0,0.07857322692871094
18:00:00,0,0.08075499534606934
18:15:00,0,0.12830591201782227
18:30:00,0,0.08869791030883789
18:45:00,0,0.09113073348999023
19:00:00,0,0.08962678909301758
19:15:00,0,0.0844883918762207
19:30:00,0,0.09347391128540039
19:45:00,1,0.1062462329864502
20:00:00,0,0.20997190475463867
20:15:00,0,0.08411598205566406
20:30:00,0,0.0863947868347168
20:45:00,0,0.08153295516967773
21:00:00,0,0.08950972557067871
21:15:00,0,0.09273576736450195
21:30:00,0,0.08995914459228516
21:45:00,0,0.08396410942077637
22:00:00,0,0.08065414428710938
22:15:00,0,0.08490705490112305
22:30:00,0,0.07989883422851562
22:45:00,0,0.08745288848876953
23:00:00,0,0.12349104881286621
23:15:00,0,0.07378005981445312
23:30:00,0,0.06777191162109375
23:45:00,0,0.0667886734008789
23:45:30,0,0.06462907791137695
23:46:00,0,0.062211036682128906
23:46:30,0,0.06446576118469238
23:47:00,0,0.12997031211853027
23:47:30,0,0.06567788124084473
23:48:00,0,0.06548404693603516
23:48:30,0,0.06375694274902344
23:49:00,0,0.07241606712341309
