simulation.reschedule_cycle,conflicts,makespan,delay_added,avg_queue_size,avg_reschedule_exec_time
60.0,1.0,75720.0,0.0,0.0,0.26806591339591834
240.0,104.0,76440.0,240.0,0.0,0.1959906379047896
420.0,186.0,75900.0,240.0,0.0022067363530778156,0.2263437077110889
600.0,290.0,76020.0,120.0,0.007109557109557108,0.23514435492770772
780.0,547.0,77190.0,120.0,0.053146853146853135,0.2611950340620968
960.0,405.0,85410.0,30.0,3.7293925615017036,0.3224324553903907
1140.0,455.0,85740.0,480.0,10.727876880027894,0.40851545333862305
1320.0,443.0,85770.0,30.0,14.723892773893015,0.24880336597561836
1500.0,566.0,85740.0,1110.0,19.71668415529882,0.5693032338069035
1680.0,487.0,85740.0,90.0,21.443161944736094,0.3158536542136714
