uncertainty.prob_hold,avg_active_aircrafts,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,n_delay,n_scheduler_delay,n_uncertainty_delay
0.0,10.86212962962963,0.0,-32370.0,0.0029629629629629632,0.14315576854132542,345.0,345.0,0.0
0.01,10.982222222222221,0.0,-32370.0,0.002592592592592593,0.15868057089966614,381.6,373.1,8.5
0.02,11.00898148148148,0.0,-32370.0,0.0042592592592592595,0.15631175939138836,382.2,359.2,23.0
0.03,10.872685185185187,0.0,-32370.0,0.0037037037037037034,0.15343286345310247,376.9,347.4,29.5
0.04,10.995833333333334,0.0,-32370.0,0.002777777777777778,0.16262846391143518,429.3,387.9,41.4
0.05,10.982685185185186,0.0,-32370.0,0.0030555555555555553,0.15788729381030478,418.0,371.5,46.5
0.06,10.983703703703704,0.0,-32370.0,0.0031481481481481486,0.16015435216157026,419.8,362.8,57.0
0.07,10.948333333333332,0.0,-32370.0,0.0025925925925925925,0.15521556150050686,441.3,368.5,72.8
0.08,11.069814814814816,0.0,-32370.0,0.004907407407407407,0.1662005026840323,503.0,405.5,97.5
0.09,10.929537037037035,0.0,-32370.0,0.0020370370370370373,0.15300733768873623,456.6,371.8,84.8
0.1,11.02675925925926,0.0,-32370.0,0.002777777777777778,0.1602372219036152,474.9,393.4,81.5
