time,rs_exec_time
00:00:00,
00:15:00,0.038014888763427734
00:30:00,0.18619298934936523
00:45:00,0.09379005432128906
01:00:00,0.09860706329345703
01:15:00,0.09751510620117188
01:30:00,0.09591913223266602
01:45:00,0.10144305229187012
02:00:00,0.13402175903320312
02:15:00,0.09314298629760742
02:30:00,0.0980520248413086
02:45:00,0.12131500244140625
03:00:00,0.1122429370880127
03:15:00,0.1584920883178711
03:30:00,0.10966086387634277
03:45:00,0.13912606239318848
04:00:00,0.12460494041442871
04:15:00,0.1245119571685791
04:30:00,0.17362093925476074
04:45:00,0.13165783882141113
05:00:00,0.13355803489685059
05:15:00,0.13586926460266113
05:30:00,0.17772412300109863
05:45:00,0.14599609375
06:00:00,0.13760685920715332
06:15:00,0.17549610137939453
06:30:00,0.15657591819763184
06:45:00,0.15767717361450195
07:00:00,0.21524691581726074
07:15:00,0.1602189540863037
07:30:00,0.16946792602539062
07:45:00,0.21271014213562012
08:00:00,0.29219675064086914
08:15:00,0.16710495948791504
08:30:00,0.21015596389770508
08:45:00,0.24795269966125488
09:00:00,0.17512083053588867
09:15:00,0.22516608238220215
09:30:00,0.17893123626708984
09:45:00,0.18190813064575195
10:00:00,0.3004789352416992
10:15:00,0.18569302558898926
10:30:00,0.24770784378051758
10:45:00,0.24328923225402832
11:00:00,0.19359707832336426
11:15:00,0.19620609283447266
11:30:00,0.2073826789855957
11:45:00,0.2753462791442871
12:00:00,0.20319390296936035
12:15:00,0.25238800048828125
12:30:00,0.25722312927246094
12:45:00,0.27664828300476074
13:00:00,0.21855807304382324
13:15:00,0.26206111907958984
13:30:00,0.21081209182739258
13:45:00,0.2574620246887207
14:00:00,0.25688910484313965
14:15:00,0.3111891746520996
14:30:00,0.22524285316467285
14:45:00,0.32156991958618164
15:00:00,0.24152493476867676
15:15:00,0.39241504669189453
15:30:00,0.25049781799316406
15:45:00,0.2989461421966553
16:00:00,0.24190616607666016
16:15:00,0.30727505683898926
16:30:00,0.43897008895874023
16:45:00,0.2586400508880615
17:00:00,0.3061833381652832
17:15:00,0.2519347667694092
17:30:00,0.29909825325012207
17:45:00,0.29500699043273926
18:00:00,0.24668598175048828
18:15:00,0.31361818313598633
18:30:00,0.2661581039428711
18:45:00,0.31185483932495117
19:00:00,0.30637216567993164
19:15:00,0.25864410400390625
19:30:00,0.3182549476623535
19:45:00,0.31696105003356934
20:00:00,0.2998924255371094
20:15:00,0.3554091453552246
20:30:00,0.3925950527191162
20:45:00,0.29184412956237793
21:00:00,0.3019399642944336
21:15:00,0.39711785316467285
21:30:00,0.3505380153656006
21:45:00,0.28728604316711426
22:00:00,0.16183924674987793
22:15:00,0.1253361701965332
22:30:00,0.13237285614013672
22:45:00,0.11156392097473145
23:00:00,0.14917397499084473
23:15:00,0.10041189193725586
23:30:00,0.09825468063354492
