simulation.reschedule_cycle,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
30.0,0.0,76440.0,0.0,0.3480957654054335,0.009725599166377216,0.008961444946161861,0.0007641542202153525
50.0,0.0,76398.0,0.0,0.3643117342333234,0.011531781868704412,0.01076762764848906,0.0007641542202153525
70.0,0.0,76350.0,0.0,0.37741809284102806,0.010628690517540812,0.009795067731851338,0.0008336227856894755
90.0,0.0,76362.0,0.0,0.37057677076853396,0.010914146680570039,0.0097323600973236,0.0011817865832464372
110.0,0.0,76428.0,0.0,0.3722515799903074,0.009308787773532477,0.00868357068426537,0.0006252170892671066
130.0,0.0,76482.0,0.0,0.3858051574541175,0.010559221952066688,0.00986453629732546,0.0006946856547412296
150.0,0.0,76530.0,6.956521739130436e-05,0.39228809137377596,0.010921739130434783,0.010156521739130434,0.000765217391304348
170.0,0.0,76566.0,0.00041681139284473776,0.3896438537908248,0.007711010767627648,0.007224730809308787,0.0004862799583188607
190.0,0.0,76434.0,0.0009037191518943343,0.3960347910625178,0.008759124087591242,0.007577337504344804,0.0011817865832464372
210.0,0.0,76350.0,0.0004171011470281543,0.39737718617043843,0.009523809523809525,0.008202989224887037,0.0013208202989224889
