simulation.reschedule_cycle,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
120.0,0.0,76416.0,0.00015067222994900322,0.09969087294549331,0.013641631896152065,0.009364858599907275,0.004276773296244785
180.0,0.0,76446.0,0.0004871259568545582,0.11224754062822839,0.0123637207144514,0.007492461145905822,0.004871259568545581
240.0,0.0,76436.0,0.0017757660167130923,0.12622799642481172,0.013788300835654596,0.008565459610027856,0.005222841225626741
300.0,0.0,76543.0,0.003716608594657376,0.1492309690077544,0.01717770034843206,0.012415795586527296,0.004761904761904762
360.0,0.0,76568.0,0.00880985588098559,0.15081358693894883,0.016457461645746164,0.012168758716875871,0.004288702928870292
420.0,0.0,76540.0,0.013972125435540066,0.17767723370221708,0.014436701509872243,0.009941927990708479,0.004494773519163763
480.0,0.0,76749.0,0.02074022346368715,0.2016419908080654,0.01133612662942272,0.0075651769087523284,0.003770949720670391
540.0,0.0,76632.0,0.02556487304914978,0.19998588310515322,0.0127766130910785,0.008385744234800839,0.004390868856277662
600.0,0.0,76677.0,0.03462703962703962,0.22844329831745705,0.01442890442890443,0.010384615384615383,0.004044289044289045
660.0,0.0,76847.0,0.05287878787878786,0.26414550502786954,0.017132867132867137,0.013216783216783217,0.003916083916083916
720.0,0.0,76734.0,0.06367880485527545,0.24715603738181338,0.01931605975723623,0.01541783380018674,0.003898225957049486
780.0,0.0,76838.0,0.07294871794871798,0.23767142412494807,0.023228438228438224,0.019825174825174825,0.0034032634032634033
