simulation.reschedule_cycle,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
60.0,154.0,76788.0,0.0,0.4798425963591468,0.10088286325144033,0.0015873015873015873,0.09929556166413875
240.0,255.6,76782.0,0.0018105849582172704,0.5579051754328126,0.7395061684218309,0.047639179719451266,0.6918669887023798
420.0,421.2,76884.0,0.013867595818815331,0.8152551725798961,1.5700170447993274,0.13190317720713782,1.4381138675921898
600.0,446.8,76806.0,0.045244755244755255,0.7911180701054318,2.287678117496913,0.14009381874974594,2.147584298747167
780.0,482.6,77430.0,0.07797202797202797,0.8648847488088347,2.8103165766806044,0.16687064149294034,2.643445935187664
960.0,690.0,77730.0,0.1413623595505618,1.1239093070680446,2.386126663530381,0.25283710353073374,2.133289559999647
1140.0,984.6,77700.0,0.22828070175438597,11.903495158375922,3.410269262153629,0.2832155394972516,3.1270537226563775
1320.0,1045.4,77862.0,0.38594405594405595,22.893224639445542,5.320248019410222,0.4224925922814209,4.897755427128802
1500.0,1201.4,78636.0,0.520561403508772,11.144550461428505,7.4550359830159465,0.6670183752077388,6.788017607808207
1680.0,1460.2,79506.0,0.7384453781512605,3.6461152334213254,9.178152739493271,0.8668626098436516,8.31129012964962
