,rs_exec_time
00:00:00,
00:06:00,0.032713890075683594
00:12:00,0.08455896377563477
00:18:00,0.5251250267028809
00:24:00,1.1825010776519775
00:30:00,1.3330376148223877
00:36:00,1.0588090419769287
00:42:00,1.8362231254577637
00:48:00,1.0623679161071777
00:54:00,0.653846025466919
01:00:00,0.29662418365478516
01:06:00,0.3983180522918701
01:12:00,1.0285749435424805
01:18:00,1.960813045501709
01:24:00,0.8934979438781738
01:30:00,0.6971077919006348
01:36:00,1.3012468814849854
01:42:00,1.5467541217803955
01:48:00,0.7391507625579834
01:54:00,1.8506178855895996
02:00:00,3.321028232574463
02:06:00,1.1401841640472412
02:12:00,0.48944091796875
02:18:00,1.4652149677276611
02:24:00,0.7546560764312744
02:30:00,1.2460567951202393
02:36:00,2.2985479831695557
02:42:00,1.7862300872802734
02:48:00,1.2545249462127686
02:54:00,1.3680899143218994
03:00:00,1.2502269744873047
03:06:00,0.26030802726745605
03:12:00,0.70296311378479
03:18:00,0.9207699298858643
03:24:00,1.5732321739196777
03:30:00,1.196254014968872
03:36:00,0.5723841190338135
03:42:00,2.6560051441192627
03:48:00,4.245867013931274
03:54:00,1.5156779289245605
04:00:00,0.9144010543823242
04:06:00,1.0441029071807861
04:12:00,1.6661059856414795
04:18:00,2.017127275466919
04:24:00,2.4749677181243896
04:30:00,2.418327808380127
04:36:00,2.313286781311035
04:42:00,1.575368881225586
04:48:00,0.964728832244873
04:54:00,1.332383155822754
05:00:00,1.2594776153564453
05:06:00,1.3796072006225586
05:12:00,1.8206868171691895
05:18:00,1.2770628929138184
05:24:00,0.4400911331176758
05:30:00,1.172553300857544
05:36:00,0.883436918258667
05:42:00,2.0144498348236084
05:48:00,0.8306419849395752
05:54:00,0.9200749397277832
06:00:00,1.3955860137939453
06:06:00,1.0243630409240723
06:12:00,1.9560811519622803
06:18:00,5.540495157241821
06:24:00,2.3805339336395264
06:30:00,0.7382791042327881
06:36:00,0.48944616317749023
06:42:00,0.9515480995178223
06:48:00,1.7003328800201416
06:54:00,0.6864261627197266
07:00:00,1.8358418941497803
07:06:00,0.3728029727935791
07:12:00,0.2929809093475342
07:18:00,1.2002968788146973
07:24:00,0.6601698398590088
07:30:00,2.1210339069366455
07:36:00,0.7775721549987793
07:42:00,0.5359570980072021
07:48:00,1.3765909671783447
07:54:00,3.778465986251831
08:00:00,7.638872861862183
08:06:00,1.9680099487304688
08:12:00,1.30240797996521
08:18:00,1.63873291015625
08:24:00,3.3879640102386475
08:30:00,1.2694270610809326
08:36:00,2.144710063934326
08:42:00,0.5447309017181396
08:48:00,0.6535840034484863
08:54:00,1.2592511177062988
