simulation.reschedule_cycle,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
30.0,0.0,76440.0,0.0,0.08555702301040413,0.010906564779437303,0.010003473428273705,0.0009030913511635984
50.0,0.0,76352.0,0.0,0.08900409393186838,0.010304503878661574,0.009517193469954844,0.0007873104087067269
70.0,0.0,76408.0,0.0,0.09637185207124298,0.010281347690170198,0.009424568715989347,0.0008567789741808499
90.0,0.0,76442.0,0.0,0.09783765221106651,0.009222569806511415,0.008342022940563087,0.0008805468659483258
110.0,0.0,76442.0,4.631237698274864e-05,0.10048891528646428,0.009424568715989347,0.008428852610860254,0.0009957161051290958
130.0,0.0,76376.0,0.00020840569642236888,0.10815599958447443,0.011323376172282042,0.010304503878661575,0.0010188722936204698
150.0,0.0,76504.0,6.956521739130436e-05,0.10942317583835084,0.010272463768115941,0.009484057971014492,0.0007884057971014494
170.0,0.0,76450.0,0.0002547180734051175,0.11531867231025243,0.008174134537455134,0.007409980317239783,0.0007641542202153525
190.0,0.0,76512.0,0.0008573745800023174,0.11873725456920095,0.009176225234619395,0.008365195226509097,0.0008110300081102998
210.0,0.0,76436.0,0.0006024794345962229,0.12138679527654883,0.008689607229753215,0.007693198934074848,0.0009964082956783688
