uncertainty.prob_hold,conflicts,makespan,avg_queue_size,avg_reschedule_exec_time,avg_n_delay,avg_n_scheduler_delay,avg_n_uncertainty_delay
0.0,0.0,76446.0,4.636068613815484e-05,0.1040657136655009,0.009040333796940195,0.009040333796940195,0.0
0.01,0.0,76456.0,0.00011590171534538712,0.10553209719662325,0.010407974038015763,0.009550301344459897,0.0008576726935558648
0.02,0.0,76508.0,9.272137227630968e-05,0.1018596884046535,0.010709318497913768,0.008831710709318498,0.0018776077885952714
0.03,0.0,76476.0,0.00013908205841446454,0.1024453535496137,0.010778859527120998,0.008878071395456653,0.0019007881316643487
0.04,0.0,76400.0,4.636068613815484e-05,0.10217132296070747,0.01240148354195642,0.009086694483078346,0.003314789058878072
0.05,0.0,76428.0,0.00016226240148354195,0.10270837960469027,0.01393138618451553,0.009619842373667132,0.004311543810848401
0.06,0.0,76448.0,0.00013908205841446454,0.10281415702904832,0.014649976819656935,0.009805285118219749,0.004844691701437181
0.07,0.0,76492.0,2.318034306907742e-05,0.10198610995583991,0.01638850254983774,0.00915623551228558,0.007232267037552157
0.08,0.0,76434.0,0.00013908205841446454,0.1015185510437026,0.01747797867408438,0.009364858599907277,0.008113120074177098
0.09,0.0,76450.0,9.272137227630968e-05,0.09533003124796692,0.01659712563745944,0.008275382475660639,0.008321743161798794
0.1,0.0,76444.0,4.636068613815484e-05,0.055641942923004804,0.018845618915159946,0.009248956884561892,0.009596662030598054
